division,logic,result,time,competitive,cpu_time,wallclock_time,nb,solver
QF_Equality+Bitvec,QF_ABV,sat,>=24s,no,5456.3617,5379.9452,41,2022-Bitwuzla
QF_Equality+Bitvec,QF_ABV,starexec-unknown,<=24s,no,0.156358,0.360676,29,2022-Bitwuzla
QF_Equality+Bitvec,QF_ABV,starexec-unknown,>=24s,no,19200.0,19200.0,16,2022-Bitwuzla
QF_Equality+Bitvec,QF_ABV,unsat,<=24s,no,444.700288,441.7684221,486,2022-Bitwuzla
QF_Equality+Bitvec,QF_ABV,unsat,>=24s,no,4153.9963,4154.6399,20,2022-Bitwuzla
QF_Equality+Bitvec,QF_AUFBV,sat,<=24s,no,2.158092,2.1584179,7,2022-Bitwuzla
QF_Equality+Bitvec,QF_AUFBV,sat,>=24s,no,367.4951,367.5258,3,2022-Bitwuzla
QF_Equality+Bitvec,QF_AUFBV,starexec-unknown,<=24s,no,0.281443,0.3054402,15,2022-Bitwuzla
QF_Equality+Bitvec,QF_AUFBV,starexec-unknown,>=24s,no,4800.0,4800.0,4,2022-Bitwuzla
QF_Equality+Bitvec,QF_AUFBV,unsat,<=24s,no,16.789928,16.7908987,8,2022-Bitwuzla
QF_Equality+Bitvec,QF_AUFBV,unsat,>=24s,no,25.349,25.3529,1,2022-Bitwuzla
QF_Equality+Bitvec,QF_UFBV,sat,<=24s,no,407.886322,403.367604,130,2022-Bitwuzla
QF_Equality+Bitvec,QF_UFBV,sat,>=24s,no,5043.0935,5044.0372,48,2022-Bitwuzla
QF_Equality+Bitvec,QF_UFBV,starexec-unknown,>=24s,no,15600.0,15600.0,13,2022-Bitwuzla
QF_Equality+Bitvec,QF_UFBV,unsat,<=24s,no,351.865128,351.936323,62,2022-Bitwuzla
QF_Equality+Bitvec,QF_UFBV,unsat,>=24s,no,6788.5034,6790.3963,47,2022-Bitwuzla
QF_FPArith,QF_ABVFP,sat,<=24s,no,131.261354,131.3175542,101,2022-Bitwuzla
QF_FPArith,QF_ABVFP,sat,>=24s,no,120.03620000000001,120.11009999999999,2,2022-Bitwuzla
QF_FPArith,QF_ABVFP,unsat,<=24s,no,557.099655,557.3181242,474,2022-Bitwuzla
