division,logic,result,time,competitive,cpu_time,wallclock_time,nb,solver
QF_Equality+NonLinearArith,QF_UFNIA,starexec-unknown,>=24s,no,3600.0,3600.0,3,2020-CVC4
QF_Equality+NonLinearArith,QF_UFNIA,unsat,<=24s,no,6.54551,6.534257,64,2020-CVC4
QF_Equality+NonLinearArith,QF_UFNRA,sat,<=24s,no,8.626476,8.631167000000001,2,2020-CVC4
QF_Equality+NonLinearArith,QF_UFNRA,sat,>=24s,no,1588.6030999999998,1589.0855,11,2020-CVC4
QF_Equality+NonLinearArith,QF_UFNRA,starexec-unknown,>=24s,no,14400.0,14400.0,12,2020-CVC4
QF_Equality+NonLinearArith,QF_UFNRA,unsat,<=24s,no,9.85653,6.61636,2,2020-CVC4
QF_Strings,QF_S,sat,<=24s,no,518.743637,518.0812575,344,2020-CVC4
QF_Strings,QF_S,sat,>=24s,no,3466.0517,3503.7203999999997,27,2020-CVC4
QF_Strings,QF_S,starexec-unknown,>=24s,no,2400.0,2400.0,2,2020-CVC4
QF_Strings,QF_S,unsat,<=24s,no,14.799451,15.5204762,172,2020-CVC4
QF_Strings,QF_SLIA,sat,<=24s,no,9767.572304,9850.6896023,10055,2020-CVC4
QF_Strings,QF_SLIA,sat,>=24s,no,99492.6455,104510.1912,441,2020-CVC4
QF_Strings,QF_SLIA,starexec-unknown,>=24s,no,409200.0,409200.0,341,2020-CVC4
QF_Strings,QF_SLIA,unsat,<=24s,no,1816.953091,1801.9133044,4170,2020-CVC4
QF_Strings,QF_SLIA,unsat,>=24s,no,30901.3176,31645.9962,136,2020-CVC4
QF_Equality+Bitvec,QF_ABV,sat,<=24s,no,622.172773,625.11487818,1100,2020-Bitwuzla
QF_Equality+Bitvec,QF_ABV,sat,>=24s,no,5650.3286,5652.5714,47,2020-Bitwuzla
QF_Equality+Bitvec,QF_ABV,starexec-unknown,>=24s,no,31200.0,31200.0,26,2020-Bitwuzla
QF_Equality+Bitvec,QF_ABV,unsat,<=24s,no,427.22057,429.270993,633,2020-Bitwuzla
QF_Equality+Bitvec,QF_ABV,unsat,>=24s,no,6789.4383,6790.7362,24,2020-Bitwuzla
QF_Equality+Bitvec,QF_AUFBV,sat,<=24s,no,2.168501,2.1689990999999997,7,2020-Bitwuzla
QF_Equality+Bitvec,QF_AUFBV,sat,>=24s,no,572.9739999999999,573.153,3,2020-Bitwuzla
QF_Equality+Bitvec,QF_AUFBV,starexec-unknown,<=24s,no,0.077527,0.2114654,16,2020-Bitwuzla
QF_Equality+Bitvec,QF_AUFBV,starexec-unknown,>=24s,no,4800.0,4800.0,4,2020-Bitwuzla
QF_Equality+Bitvec,QF_AUFBV,unsat,<=24s,no,6.193758000000001,6.204613999999999,7,2020-Bitwuzla
QF_Equality+Bitvec,QF_AUFBV,unsat,>=24s,no,34.7672,34.7675,1,2020-Bitwuzla
QF_Equality+Bitvec,QF_UFBV,sat,<=24s,no,334.32106699999997,334.41104789999997,131,2020-Bitwuzla
QF_Equality+Bitvec,QF_UFBV,sat,>=24s,no,1751.507,1751.8883,29,2020-Bitwuzla
QF_Equality+Bitvec,QF_UFBV,starexec-unknown,<=24s,no,0.036743,0.0926349,8,2020-Bitwuzla
QF_Equality+Bitvec,QF_UFBV,starexec-unknown,>=24s,no,7200.0,7200.0,6,2020-Bitwuzla
QF_Equality+Bitvec,QF_UFBV,unsat,<=24s,no,447.478267,446.0317879,69,2020-Bitwuzla
QF_Equality+Bitvec,QF_UFBV,unsat,>=24s,no,6591.3785,6592.659900000001,57,2020-Bitwuzla
QF_Bitvec,QF_BV,sat,<=24s,no,11686.558666,11635.8080753,2700,2020-Bitwuzla-fixed
QF_Bitvec,QF_BV,sat,>=24s,no,67284.7124,67176.7123,365,2020-Bitwuzla-fixed
QF_Bitvec,QF_BV,starexec-unknown,>=24s,no,241200.0,241200.0,201,2020-Bitwuzla-fixed
QF_Bitvec,QF_BV,unsat,<=24s,no,9284.967038,9211.7231958,4844,2020-Bitwuzla-fixed
QF_Bitvec,QF_BV,unsat,>=24s,no,72526.5215,72413.1078,354,2020-Bitwuzla-fixed
Equality+MachineArith,ABV,sat,<=24s,no,13.471053,13.515127,11,2021-cvc5
Equality+MachineArith,ABV,starexec-unknown,>=24s,no,119644.111,120724.636,135,2021-cvc5
Equality+MachineArith,ABV,unsat,<=24s,no,3.6050679999999997,3.697919,21,2021-cvc5
Equality+MachineArith,ABV,unsat,>=24s,no,275.813,277.119,2,2021-cvc5
Equality+MachineArith,ABVFP,sat,<=24s,no,3.631712,3.6403283,15,2021-cvc5
Equality+MachineArith,ABVFP,starexec-unknown,>=24s,no,15600.0,15600.0,13,2021-cvc5
Equality+MachineArith,ABVFP,unsat,<=24s,no,0.370383,0.37099400000000005,2,2021-cvc5
Equality+MachineArith,ABVFPLRA,sat,<=24s,no,1.632681,1.6235112,17,2021-cvc5
Equality+MachineArith,ABVFPLRA,sat,>=24s,no,300.18,300.274,1,2021-cvc5
Equality+MachineArith,ABVFPLRA,starexec-unknown,<=24s,no,23.167622,23.163356899999997,6,2021-cvc5
Equality+MachineArith,ABVFPLRA,starexec-unknown,>=24s,no,54477.681,54484.032,47,2021-cvc5
Equality+MachineArith,ABVFPLRA,unsat,<=24s,no,0.254867,0.2535539,3,2021-cvc5
Equality+MachineArith,ABVFPLRA,unsat,>=24s,no,34.2451,34.2482,1,2021-cvc5
Equality+MachineArith,AUFBV,sat,<=24s,no,4.37178,4.37179,1,2021-cvc5
Equality+MachineArith,AUFBV,sat,>=24s,no,533.01,518.0351,4,2021-cvc5
Equality+MachineArith,AUFBV,starexec-unknown,<=24s,no,71.81327999999999,71.87826,10,2021-cvc5
Equality+MachineArith,AUFBV,starexec-unknown,>=24s,no,654975.7256,656051.1477,581,2021-cvc5
Equality+MachineArith,AUFBV,unsat,<=24s,no,605.076171,592.5957268,140,2021-cvc5
Equality+MachineArith,AUFBV,unsat,>=24s,no,11820.2271,12486.7451,25,2021-cvc5
Equality+MachineArith,AUFBVDTLIA,sat,<=24s,no,8.255031,8.289844,7,2021-cvc5
Equality+MachineArith,AUFBVDTLIA,sat,>=24s,no,28234.314300000002,29598.1907,150,2021-cvc5
Equality+MachineArith,AUFBVDTLIA,starexec-unknown,>=24s,no,518017.8408,518043.3734,454,2021-cvc5
Equality+MachineArith,AUFBVDTLIA,unsat,<=24s,no,8.669214,8.6527274,95,2021-cvc5
Equality+MachineArith,AUFBVDTLIA,unsat,>=24s,no,12660.461,12868.1945,36,2021-cvc5
Equality+MachineArith,AUFBVDTNIA,starexec-unknown,<=24s,no,0.043289999999999995,0.0422242,2,2021-cvc5
Equality+MachineArith,AUFBVDTNIA,starexec-unknown,>=24s,no,3600.0,3600.0,3,2021-cvc5
Equality+MachineArith,AUFBVDTNIA,unsat,<=24s,no,0.169871,0.1681591,3,2021-cvc5
Equality+MachineArith,AUFBVFP,starexec-unknown,>=24s,no,45020.4464,45090.9633,40,2021-cvc5
